"participant","age_group","age_continuous","zoom","gender","race","story_order_wagon","trial","trial_order_auau","valence_neg","condition_amb_c","condition_amb","dis_yes"
13,7,7.775,0,"Girl","Asian",1,"trial 1",-1,-1,"Unambiguous Trials",0,0
14,7,7.219444444,1,"Girl","Asian",1,"trial 1",-1,-1,"Unambiguous Trials",0,1
15,7,7.013888889,1,"Boy","Asian",1,"trial 1",1,-1,"Ambiguous Trials",1,1
16,7,7.327777778,1,"Girl","Mixed",1,"trial 1",1,-1,"Ambiguous Trials",1,1
17,7,7.25,1,"Boy","Asian",-1,"trial 1",-1,-1,"Unambiguous Trials",0,0
18,7,7.133333333,1,"Boy","White",-1,"trial 1",-1,-1,"Unambiguous Trials",0,1
19,7,7.758333333,1,"Boy","Mixed",-1,"trial 1",1,-1,"Ambiguous Trials",1,0
20,7,7.861111111,1,"Girl","Mixed",1,"trial 1",-1,1,"Unambiguous Trials",0,0
21,7,7.066666667,1,"Boy","Asian",1,"trial 1",-1,1,"Unambiguous Trials",0,0
22,7,7.586111111,1,"Girl","White",1,"trial 1",1,1,"Ambiguous Trials",1,1
23,7,7.441666667,1,"Girl","Asian",-1,"trial 1",-1,1,"Unambiguous Trials",0,0
24,7,7.961111111,1,"Girl","White",-1,"trial 1",1,1,"Ambiguous Trials",1,1
37,8,8.541666667,1,"Girl","Latinx",1,"trial 1",-1,-1,"Unambiguous Trials",0,0
38,8,8.261111111,1,"Boy","Asian",1,"trial 1",1,-1,"Ambiguous Trials",1,0
39,8,8.927777778,0,"Girl","White",1,"trial 1",-1,-1,"Unambiguous Trials",0,1
40,8,8.225,1,"Girl","White",-1,"trial 1",1,-1,"Ambiguous Trials",1,0
41,8,8.341666667,1,"Not Reported","Not reported",1,"trial 1",-1,1,"Unambiguous Trials",0,0
42,8,8.569444444,1,"Boy","Asian",1,"trial 1",1,1,"Ambiguous Trials",1,1
43,8,8.202777778,1,"Boy","Asian",-1,"trial 1",-1,-1,"Unambiguous Trials",0,0
44,8,8.455555556,1,"Girl","Asian",-1,"trial 1",-1,1,"Unambiguous Trials",0,1
45,8,8.497222222,1,"Non-binary","White",-1,"trial 1",1,1,"Ambiguous Trials",1,1
46,8,8.711111111,1,"Girl","White",-1,"trial 1",1,1,"Ambiguous Trials",1,1
59,9,9.622222222,1,"Boy","Latinx",1,"trial 1",-1,-1,"Unambiguous Trials",0,0
60,9,9.458333333,1,"Boy","Asian",1,"trial 1",1,-1,"Ambiguous Trials",1,0
61,9,9.294444444,1,"Boy","Asian",-1,"trial 1",-1,-1,"Unambiguous Trials",0,0
62,9,9.986111111,1,"Girl","Asian",-1,"trial 1",1,-1,"Ambiguous Trials",1,1
63,9,9.413888889,1,"Boy","Asian",1,"trial 1",-1,1,"Unambiguous Trials",0,0
